PROVEEDOR,DEPARTAMENTO,MUNICIPIO,SEGMENTO,Periodo_2015_4,Periodo_2016_1,Periodo_2016_2,Periodo_2016_3,Periodo_2016_4,Periodo_2017_1,Periodo_2017_2,Periodo_2017_3,Periodo_2017_4
@NY PHONE SA ESP,CUNDINAMARCA,COGUA,Sin estratificar,2,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,EL ROSAL,Sin estratificar,2,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,FACATATIVÁ,Sin estratificar,1,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,FUNZA,Sin estratificar,3,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,LA CALERA,Sin estratificar,5,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,MADRID,Sin estratificar,7,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,MOSQUERA,Sin estratificar,2,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,SIBATÉ,Sin estratificar,1,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,SOPÓ,Sin estratificar,2,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,SUBACHOQUE,Residencial - Estrato 3,1,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,TENJO,Sin estratificar,16,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,ZIPAQUIRÁ,Residencial - Estrato 3,2,-,-,-,-,-,-,-,-
AVANTEL S.A.S.,BOGOTÁ D.C.,"BOGOTÁ, D.C.",Corporativo,114,148,148,163,163,117,163,163,163
AVANTEL S.A.S.,BOGOTÁ D.C.,"BOGOTÁ, D.C.",Uso propio interno del operador,476,476,480,509,494,494,494,494,494
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Corporativo,3441,3440,3364,3282,3227,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Residencial - Estrato 1,1822,1819,1890,1843,1812,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Residencial - Estrato 2,6191,6181,6033,5886,5786,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Residencial - Estrato 3,4371,4366,4385,4278,4205,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Residencial - Estrato 4,1694,1693,1769,1726,1697,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Residencial - Estrato 5,874,873,931,908,893,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Residencial - Estrato 6,117,116,127,124,122,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,YOTOCO,Corporativo,0,0,0,0,-,-,-,-,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,YOTOCO,Residencial - Estrato 2,0,0,0,0,-,-,-,-,-
CAUCATEL S.A. E.S.P.,CAUCA,POPAYÁN,Corporativo,1545,1545,1592,1563,1528,0,0,0,-
CAUCATEL S.A. E.S.P.,CAUCA,POPAYÁN,Residencial - Estrato 1,2202,2203,2306,2263,2212,0,0,0,-
CAUCATEL S.A. E.S.P.,CAUCA,POPAYÁN,Residencial - Estrato 2,5173,5170,4842,4751,4643,0,0,0,-
CAUCATEL S.A. E.S.P.,CAUCA,POPAYÁN,Residencial - Estrato 3,5141,5135,5268,5169,5052,0,0,0,-
CAUCATEL S.A. E.S.P.,CAUCA,POPAYÁN,Residencial - Estrato 4,681,680,696,683,668,0,0,0,-
CAUCATEL S.A. E.S.P.,CAUCA,POPAYÁN,Residencial - Estrato 5,61,61,56,55,54,0,0,0,-
CAUCATEL S.A. E.S.P.,CAUCA,POPAYÁN,Residencial - Estrato 6,31,31,33,32,31,0,0,0,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,AMAZONAS,EL ENCANTO,Residencial - Estrato 1,0,0,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,AMAZONAS,EL ENCANTO,Residencial - Estrato 2,0,0,0,0,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,AMAZONAS,EL ENCANTO,Residencial - Estrato 3,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,AMAZONAS,LETICIA,Corporativo,823,801,783,779,754,740,719,710,703
COLOMBIA TELECOMUNICACIONES S.A. ESP,AMAZONAS,LETICIA,Residencial - Estrato 1,78,74,69,68,60,55,54,50,49
COLOMBIA TELECOMUNICACIONES S.A. ESP,AMAZONAS,LETICIA,Residencial - Estrato 2,472,459,437,410,392,374,362,352,341
COLOMBIA TELECOMUNICACIONES S.A. ESP,AMAZONAS,LETICIA,Residencial - Estrato 3,227,223,217,208,194,185,182,181,179
COLOMBIA TELECOMUNICACIONES S.A. ESP,AMAZONAS,LETICIA,Residencial - Estrato 4,170,166,161,155,150,145,142,137,134
COLOMBIA TELECOMUNICACIONES S.A. ESP,AMAZONAS,LETICIA,Residencial - Estrato 5,1,1,1,1,1,1,1,1,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,AMAZONAS,LETICIA,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,BARBOSA,Corporativo,-,-,-,-,-,-,-,-,2
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,CALDAS,Corporativo,2,2,0,0,0,0,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,CALDAS,Residencial - Estrato 2,0,0,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,CAUCASIA,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,ENVIGADO,Residencial - Estrato 1,-,-,-,-,-,-,-,1,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,ITAGUI,Corporativo,1,0,0,0,0,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,MEDELLÍN,Corporativo,1205,1205,405,6,8,19,20,21,21
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,MEDELLÍN,Residencial - Estrato 1,1,1,1,1,1,1,1,1,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,MEDELLÍN,Residencial - Estrato 3,0,-,-,0,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,MEDELLÍN,Uso propio interno del operador,20,20,20,20,9,9,9,9,9
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,TÁMESIS,Residencial - Estrato 3,2,2,2,1,1,1,1,1,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,TARAZÁ,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,YARUMAL,Corporativo,259,247,241,231,221,219,215,209,209
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,YARUMAL,Residencial - Estrato 1,163,162,156,153,145,138,137,135,131
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,YARUMAL,Residencial - Estrato 2,471,461,450,441,437,440,447,440,432
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,YARUMAL,Residencial - Estrato 3,297,288,275,273,262,260,251,248,239
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,YARUMAL,Residencial - Estrato 4,15,14,14,14,14,12,12,12,12
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,YARUMAL,Sin estratificar,-,-,-,2,2,2,2,2,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,ANTIOQUIA,YARUMAL,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,ARAUCA,Corporativo,1416,1395,1347,1360,1562,1552,1308,1325,1339
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,ARAUCA,Residencial - Estrato 1,1809,1767,1713,1654,1570,1541,1535,1519,1494
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,ARAUCA,Residencial - Estrato 2,2624,2607,2577,2528,2427,2414,2438,2455,2440
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,ARAUCA,Residencial - Estrato 3,777,795,792,777,739,760,765,772,768
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,ARAUCA,Residencial - Estrato 4,147,146,146,143,137,136,136,135,131
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,ARAUCA,Sin estratificar,-,-,-,8,8,16,15,9,9
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,ARAUCA,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,ARAUQUITA,Corporativo,102,99,97,99,93,90,79,76,77
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,ARAUQUITA,Residencial - Estrato 1,167,160,154,149,146,146,142,138,131
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,ARAUQUITA,Residencial - Estrato 2,253,250,247,240,231,227,223,218,214
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,ARAUQUITA,Residencial - Estrato 3,41,39,39,38,36,35,35,34,32
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,ARAUQUITA,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,CRAVO NORTE,Corporativo,12,12,12,12,11,11,11,13,13
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,CRAVO NORTE,Residencial - Estrato 1,8,9,7,6,5,5,5,5,5
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,CRAVO NORTE,Residencial - Estrato 2,3,3,3,2,2,1,1,1,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,CRAVO NORTE,Residencial - Estrato 3,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,CRAVO NORTE,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,FORTUL,Corporativo,25,20,20,20,19,18,18,19,18
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,FORTUL,Residencial - Estrato 1,9,9,8,8,7,6,5,5,5
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,FORTUL,Residencial - Estrato 2,37,37,36,36,34,32,31,29,28
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,FORTUL,Residencial - Estrato 3,2,2,1,1,1,1,1,1,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,PUERTO RONDÓN,Corporativo,21,19,17,16,14,13,13,13,13
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,PUERTO RONDÓN,Residencial - Estrato 1,7,7,7,7,7,7,7,6,6
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,PUERTO RONDÓN,Residencial - Estrato 2,8,8,8,7,7,7,7,6,6
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,PUERTO RONDÓN,Residencial - Estrato 3,4,4,4,4,4,4,4,4,3
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,SARAVENA,Corporativo,331,327,321,324,318,302,291,288,286
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,SARAVENA,Residencial - Estrato 1,339,327,310,290,262,239,219,209,202
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,SARAVENA,Residencial - Estrato 2,713,685,662,634,597,567,544,522,493
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,SARAVENA,Residencial - Estrato 3,269,261,256,245,231,225,211,194,186
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,SARAVENA,Residencial - Estrato 4,4,4,4,4,4,4,4,4,4
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,SARAVENA,Sin estratificar,-,-,-,1,0,-,-,0,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,SARAVENA,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,TAME,Corporativo,220,215,209,204,191,186,173,173,173
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,TAME,Residencial - Estrato 1,101,98,90,85,81,74,70,68,63
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,TAME,Residencial - Estrato 2,412,399,376,356,318,298,273,265,244
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,TAME,Residencial - Estrato 3,386,370,356,344,320,305,285,277,266
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,TAME,Residencial - Estrato 4,1,1,1,1,1,1,1,1,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,ARAUCA,TAME,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,Corporativo,99,93,93,94,95,94,94,92,91
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,Residencial - Estrato 1,7,5,5,5,4,4,4,4,4
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,Residencial - Estrato 2,113,107,98,92,78,73,68,66,63
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,Residencial - Estrato 3,107,99,94,90,81,76,73,68,63
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,Residencial - Estrato 4,11,10,10,9,9,8,8,8,8
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,Residencial - Estrato 5,2,2,2,2,1,0,0,0,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",PROVIDENCIA,Residencial - Estrato 6,2,2,2,2,2,2,2,2,2
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,Corporativo,2581,2545,2518,2470,2797,2784,2370,2350,2309
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,Residencial - Estrato 1,733,714,706,696,661,640,618,606,588
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,Residencial - Estrato 2,1648,1633,1610,1572,1511,1480,1439,1404,1385
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,Residencial - Estrato 3,2068,2048,2015,1979,1907,1859,1823,1771,1742
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,Residencial - Estrato 4,456,454,445,439,426,409,399,395,389
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,Residencial - Estrato 5,175,173,162,153,145,142,140,141,140
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,Residencial - Estrato 6,68,66,66,64,61,61,60,58,57
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,Sin estratificar,-,-,-,29,29,29,30,27,27
COLOMBIA TELECOMUNICACIONES S.A. ESP,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,Uso propio interno del operador,1,1,1,1,1,1,1,1,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARANOA,Corporativo,120,121,167,172,152,149,149,144,151
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARANOA,Residencial - Estrato 1,242,246,247,243,231,227,226,216,214
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARANOA,Residencial - Estrato 2,882,879,940,906,842,834,836,821,794
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARANOA,Residencial - Estrato 3,356,388,489,489,456,492,545,533,519
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARANOA,Residencial - Estrato 4,1,2,2,2,2,2,1,1,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARANOA,Residencial - Estrato 6,1,1,1,0,0,0,0,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARANOA,Sin estratificar,-,-,-,-,2,3,0,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARANOA,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARRANQUILLA,Corporativo,17256,16892,16611,15994,19906,19388,14327,14132,13822
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARRANQUILLA,Residencial - Estrato 1,8151,8241,8397,8551,8209,8046,7914,7971,8078
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARRANQUILLA,Residencial - Estrato 2,12202,12029,12028,11782,10883,11253,11345,11609,11903
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARRANQUILLA,Residencial - Estrato 3,9373,9739,10196,10347,9980,10160,10289,10802,10968
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARRANQUILLA,Residencial - Estrato 4,6397,6404,6447,6505,6350,6384,6380,6370,6263
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARRANQUILLA,Residencial - Estrato 5,2646,2686,2745,2811,2797,2864,2816,2816,2747
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARRANQUILLA,Residencial - Estrato 6,3341,3303,3271,3243,3201,3155,3078,3053,2990
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARRANQUILLA,Sin estratificar,-,-,-,63,74,92,59,25,56
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,BARRANQUILLA,Uso propio interno del operador,21,21,21,21,10,11,11,11,11
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,CAMPO DE LA CRUZ,Corporativo,13,13,13,11,11,11,11,11,11
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,CAMPO DE LA CRUZ,Residencial - Estrato 1,5,5,5,5,5,5,3,3,3
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,CAMPO DE LA CRUZ,Residencial - Estrato 2,4,4,4,4,4,4,3,3,3
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,CAMPO DE LA CRUZ,Residencial - Estrato 3,1,1,1,1,1,1,1,1,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,CAMPO DE LA CRUZ,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,CANDELARIA,Corporativo,4,4,4,5,4,4,4,4,4
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,CANDELARIA,Residencial - Estrato 1,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,CANDELARIA,Residencial - Estrato 2,3,3,3,3,3,3,2,2,2
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,GALAPA,Corporativo,104,101,106,103,100,99,101,100,96
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,GALAPA,Residencial - Estrato 1,354,348,336,327,300,302,294,286,261
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,GALAPA,Residencial - Estrato 2,756,801,798,783,737,744,718,692,640
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,GALAPA,Residencial - Estrato 3,56,56,57,57,55,52,51,50,49
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,GALAPA,Sin estratificar,-,-,-,-,-,3,0,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,GALAPA,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,JUAN DE ACOSTA,Corporativo,8,8,8,8,7,7,7,7,7
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,JUAN DE ACOSTA,Residencial - Estrato 1,6,6,5,4,4,3,3,3,3
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,JUAN DE ACOSTA,Residencial - Estrato 2,24,23,22,20,20,19,16,15,14
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,JUAN DE ACOSTA,Residencial - Estrato 3,12,11,11,11,11,10,10,9,9
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,JUAN DE ACOSTA,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,LURUACO,Corporativo,18,16,15,17,15,14,13,14,14
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,LURUACO,Residencial - Estrato 1,8,8,6,5,4,4,4,4,3
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,LURUACO,Residencial - Estrato 2,29,27,24,23,18,16,15,15,14
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,LURUACO,Residencial - Estrato 3,13,13,12,11,11,10,9,8,8
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,LURUACO,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,MALAMBO,Corporativo,55,55,55,54,54,52,51,51,50
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,MALAMBO,Residencial - Estrato 1,3,3,3,3,2,2,2,2,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,MALAMBO,Residencial - Estrato 2,3,3,3,4,4,3,3,3,3
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,MALAMBO,Residencial - Estrato 3,-,-,1,1,1,1,1,1,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,MANATÍ,Corporativo,7,6,6,6,6,6,6,6,6
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,MANATÍ,Residencial - Estrato 1,12,12,12,12,12,11,10,9,9
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,MANATÍ,Residencial - Estrato 2,16,16,16,15,14,14,14,14,14
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,MANATÍ,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PALMAR DE VARELA,Corporativo,11,10,10,10,11,11,11,11,11
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PALMAR DE VARELA,Residencial - Estrato 1,16,16,13,13,13,13,13,12,12
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PALMAR DE VARELA,Residencial - Estrato 2,68,68,66,64,60,60,59,57,56
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PALMAR DE VARELA,Residencial - Estrato 3,91,90,88,85,83,82,79,74,72
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PALMAR DE VARELA,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PIOJÓ,Corporativo,1,1,1,1,1,1,1,1,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PIOJÓ,Residencial - Estrato 1,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,POLONUEVO,Corporativo,9,9,9,10,7,7,6,6,10
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,POLONUEVO,Residencial - Estrato 1,9,8,7,7,7,6,6,6,6
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,POLONUEVO,Residencial - Estrato 2,30,30,28,28,24,21,19,18,18
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,POLONUEVO,Residencial - Estrato 3,15,14,14,14,14,13,12,11,11
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,POLONUEVO,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PONEDERA,Corporativo,7,6,6,7,5,5,5,5,5
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PONEDERA,Residencial - Estrato 1,13,13,12,11,9,8,3,3,3
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PONEDERA,Residencial - Estrato 2,11,11,11,11,10,9,9,9,7
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PONEDERA,Residencial - Estrato 3,1,1,1,1,1,1,1,1,1
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PONEDERA,Uso propio interno del operador,0,-,-,-,-,-,-,-,-
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PUERTO COLOMBIA,Corporativo,197,199,201,208,205,199,203,202,204
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PUERTO COLOMBIA,Residencial - Estrato 1,408,394,398,409,367,345,346,342,360
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PUERTO COLOMBIA,Residencial - Estrato 2,921,913,932,958,899,907,915,917,919
COLOMBIA TELECOMUNICACIONES S.A. ESP,ATLÁNTICO,PUERTO COLOMBIA,Residencial - Estrato 3,328,338,345,343,324,320,322,325,322
